URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,115,37,0.5131578913608034,0.0495759947653046,36.07058823529412,0.1904761904761904,14.504425770308124,36.07058823529412,584,3066,1,70,16264
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,106,41,0.4421768677402934,0.0553255551165504,28.26595744680851,0.1456529920963492,11.364644175561944,28.26595744680851,387,2657,1,96,12719
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,107,42,0.436241607810459,0.0504400812286932,30.142857142857142,0.1831415030467163,12.130399458361545,30.142857142857142,541,2954,1,72,15196
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,123,31,0.5974025935233598,0.0539215686085708,26.444444444444443,0.149859943977591,10.637721755368815,26.444444444444443,428,2856,1,98,13802
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,109,32,0.5460992869070973,0.0468594217192225,32.01063829787234,0.1601861083416417,12.868329762485594,32.01063829787234,482,3009,1,110,14807
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,97,27,0.5645161244797087,0.0493434142262859,32.217948717948715,0.1496219657779546,12.947028273490668,32.217948717948715,376,2513,1,100,12366
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,65,16,0.6049382641365647,0.0437837837601168,31.35593220338983,0.1659459459459459,12.608751259734312,31.35593220338983,307,1850,1,56,9505
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,30,5,0.7142856938775517,0.0358606557009624,97.6,0.1690573770491803,39.10762295081968,97.6,165,976,1,46,5257
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,75,19,0.5957446745133546,0.0508933405246922,37.69387755102041,0.1467244179750947,15.1362407875982,37.69387755102041,271,1847,1,74,9309
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,113,45,0.4303797441115206,0.0459168846132179,36.22105263157895,0.1592560302237721,14.55212346472109,36.22105263157895,548,3441,1,97,16575
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,100,71,0.1695906422830956,0.0500146241444824,28.97457627118644,0.1471190406551623,11.64867812473664,28.97457627118644,503,3419,1,123,16228
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,83,26,0.5229357750189378,0.0463238418842652,33.140845070422536,0.1852953676158096,13.33045617521534,33.140845070422536,436,2353,1,76,12474
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,76,33,0.3944954092248127,0.044580777077881,25.46875,0.1554192229038855,10.249667689161557,25.46875,380,2445,1,60,12001
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,109,30,0.5683453196521919,0.0484658298296841,36.76923076923077,0.1426080892608089,14.764735543396633,36.76923076923077,409,2868,1,112,14134
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,115,27,0.6197183054949416,0.0484972677429995,31.82608695652174,0.1656420765027322,12.796691613209788,31.82608695652174,485,2928,1,82,14436
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,63,3,0.9090908953168046,0.0416141235550982,46.64705882352941,0.1790668348045397,18.73045026333358,46.64705882352941,284,1586,1,50,8453
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,138,44,0.516483513645695,0.062457103616178,116.56,0.1523678792038435,46.68494715168154,116.56,444,2914,1,104,14386
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,67,4,0.8873239311644517,0.0340854536562239,32.04615384615385,0.1833893422947671,12.891817275379449,32.04615384615385,382,2083,1,65,10660
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,50,9,0.6949152424590637,0.0323997803226799,35.01923076923077,0.200988467874794,14.088087694842224,35.01923076923077,366,1821,1,48,9575
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,38,7,0.6888888735802473,0.032420749256181,57.833333333333336,0.1801152737752161,23.205379442843423,57.833333333333336,250,1388,1,49,7526
57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,30,5,0.7142856938775517,0.0358606557009624,97.6,0.1690573770491803,39.10762295081968,97.6,165,976,1,46,5257
58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,66,73,-0.0503597118679157,0.054403131094167,38.13432835820896,0.1616438356164383,15.318388877530158,38.13432835820896,413,2555,1,59,12872
59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,54,18,0.4999999930555556,0.0390879478615157,42.83720930232558,0.1682953311617806,17.202201853394946,42.83720930232558,310,1842,1,59,9506
60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,112,41,0.4640522845486778,0.0475007761417259,25.768,0.1577149953430611,10.370285998137224,25.768,508,3221,1,96,15570
61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,88,7,0.8526315699722993,0.0530429927118687,30.35593220338983,0.1702959240647683,12.21049125098184,30.35593220338983,305,1791,1,66,9320
62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,40,4,0.8181817995867773,0.0302197801990248,46.96774193548387,0.1572802197802197,18.85000886210564,46.96774193548387,229,1456,1,47,7700
63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,69,12,0.7037036950160038,0.035324901859867,36.3968253968254,0.1482773658962058,14.618041105088643,36.3968253968254,340,2293,1,78,11250
64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,67,12,0.6962025228328795,0.0465253238830828,49.94117647058823,0.1849234393404004,20.050439963971456,49.94117647058823,314,1698,1,47,9088
65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,55,16,0.5492957669113272,0.048830811520749,35.46341463414634,0.1767537826685007,14.256067366725937,35.46341463414634,257,1454,1,52,7700
66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,38,6,0.7272727107438021,0.037037037005861,45.69230769230769,0.1784511784511784,18.348303548303548,45.69230769230769,212,1188,1,47,6499
67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,59,44,0.1456310665472712,0.0524173027723067,28.47826086956522,0.1409669211195929,11.447691116273925,28.47826086956522,277,1965,1,113,9684
68,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,42,6,0.7499999843750004,0.0400333611008896,57.095238095238095,0.1701417848206839,22.90615195202352,57.095238095238095,204,1199,1,48,6609
69,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,87,23,0.5818181765289256,0.0467289719427659,33.15492957746479,0.1856414613423959,13.336228415522877,33.15492957746479,437,2354,1,69,12598
70,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,47,23,0.3428571379591837,0.0431300061348552,49.18181818181818,0.1792975970425138,19.74444631154428,49.18181818181818,291,1623,1,53,8429
71,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,56,40,0.1666666649305555,0.0441582336503412,33.44615384615385,0.1669733210671573,13.4452508668884,33.44615384615385,363,2174,1,87,10914
